Hour,Lane 1 Flow (Veh/Hour),Lane 2 Flow (Veh/Hour),Lane 3 Flow (Veh/Hour),Lane 4 Flow (Veh/Hour),Lane 5 Flow (Veh/Hour),Flow (Veh/Hour),# Lane Points,% Observed
1/14/2016 0:00,34,347,372,291,119,1163,60,100
1/14/2016 1:00,20,199,295,230,74,818,60,100
1/14/2016 2:00,17,248,342,267,114,988,60,100
1/14/2016 3:00,158,427,433,347,164,1529,60,100
1/14/2016 4:00,883,1033,912,737,543,4108,60,100
1/14/2016 5:00,2037,1944,1734,1617,1594,8926,60,100
1/14/2016 6:00,1838,1844,1709,1715,1626,8732,60,100
1/14/2016 7:00,1790,1883,1760,1720,1627,8780,60,100
1/14/2016 8:00,1739,1820,1686,1621,1617,8483,60,100
1/14/2016 9:00,1709,1705,1681,1591,1631,8317,60,100
1/14/2016 10:00,1821,1722,1565,1410,1242,7760,60,100
1/14/2016 11:00,1523,1621,1397,1164,945,6650,60,100
1/14/2016 12:00,1447,1582,1338,1246,954,6567,60,50
1/14/2016 13:00,1343,1459,1253,1155,759,5969,60,100
1/14/2016 14:00,1536,1431,1324,1214,962,6467,60,100
1/14/2016 15:00,1381,1402,1215,1194,956,6148,60,100
1/14/2016 16:00,1505,1493,1358,1356,1228,6940,60,100
1/14/2016 17:00,1150,1430,1472,1535,1539,7126,60,100
1/14/2016 18:00,1429,1514,1464,1442,1391,7240,60,100
1/14/2016 19:00,1170,1317,1225,1100,878,5690,60,100
1/14/2016 20:00,802,1052,942,794,461,4051,60,100
1/14/2016 21:00,697,992,902,791,415,3797,60,100
1/14/2016 22:00,799,1039,911,855,569,4173,60,100
1/14/2016 23:00,406,675,599,519,300,2499,60,100
1/15/2016 0:00,147,407,399,323,107,1383,60,100
1/15/2016 1:00,106,289,281,229,88,993,60,100
1/15/2016 2:00,100,305,310,251,92,1058,60,100
1/15/2016 3:00,217,411,409,345,131,1513,60,100
1/15/2016 4:00,891,985,861,727,535,3999,60,100
1/15/2016 5:00,1965,1832,1652,1526,1369,8344,60,100
1/15/2016 6:00,1937,1903,1754,1716,1604,8914,60,100
1/15/2016 7:00,1761,1833,1724,1770,1645,8733,60,100
1/15/2016 8:00,1717,1774,1607,1573,1424,8095,60,100
1/15/2016 9:00,1706,1676,1541,1391,1298,7612,60,100
1/15/2016 10:00,1799,1693,1553,1441,1202,7688,60,100
1/15/2016 11:00,1533,1604,1346,1230,969,6682,60,100
1/15/2016 12:00,1502,1526,1336,1174,904,6442,60,100
1/15/2016 13:00,1356,1459,1356,1258,1061,6490,60,100
1/15/2016 14:00,1437,1384,1260,1213,1039,6333,60,100
1/15/2016 15:00,1474,1514,1392,1264,1062,6706,60,100
1/15/2016 16:00,1411,1574,1551,1474,1419,7429,60,100
1/15/2016 17:00,1250,1637,1666,1625,1685,7863,60,100
1/15/2016 18:00,1331,1615,1644,1615,1629,7834,60,100
1/15/2016 19:00,1379,1547,1457,1355,1265,7003,60,100
1/15/2016 20:00,987,1216,1066,917,551,4737,60,100
1/15/2016 21:00,930,1142,1001,912,510,4495,60,100
1/15/2016 22:00,853,1052,982,775,414,4076,60,100
1/15/2016 23:00,578,817,750,607,236,2988,60,100
1/16/2016 0:00,281,540,509,397,159,1886,60,100
1/16/2016 1:00,188,404,399,295,108,1394,60,100
1/16/2016 2:00,124,364,334,271,94,1187,60,100
1/16/2016 3:00,125,341,314,258,80,1118,60,100
1/16/2016 4:00,229,465,436,346,170,1646,60,100
1/16/2016 5:00,589,861,742,673,391,3256,60,100
1/16/2016 6:00,791,990,948,777,505,4011,60,100
1/16/2016 7:00,988,1120,978,885,612,4583,60,100
1/16/2016 8:00,1278,1328,1237,1068,772,5683,60,100
1/16/2016 9:00,1520,1529,1395,1225,990,6659,60,100
1/16/2016 10:00,1581,1543,1439,1367,1126,7056,60,100
1/16/2016 11:00,1606,1485,1442,1433,1249,7215,60,100
1/16/2016 12:00,1305,1457,1458,1400,1265,6885,60,100
1/16/2016 13:00,1714,1631,1528,1505,1307,7685,60,100
1/16/2016 14:00,1705,1601,1495,1439,1199,7439,60,100
1/16/2016 15:00,1637,1609,1504,1365,1087,7202,60,100
1/16/2016 16:00,1580,1517,1416,1359,1156,7028,60,100
1/16/2016 17:00,1488,1514,1422,1292,1084,6800,60,100
1/16/2016 18:00,1245,1467,1475,1446,1414,7047,60,100
1/16/2016 19:00,1414,1482,1417,1335,1137,6785,60,100
1/16/2016 20:00,1096,1274,1200,961,536,5067,60,100
1/16/2016 21:00,1245,1360,1226,1053,603,5487,60,100
1/16/2016 22:00,1147,1248,1133,966,576,5070,60,100
1/16/2016 23:00,662,896,859,659,297,3373,60,100
1/17/2016 0:00,318,607,529,426,163,2043,60,100
1/17/2016 1:00,163,427,416,384,160,1550,60,100
1/17/2016 2:00,128,347,327,287,136,1225,60,100
1/17/2016 3:00,111,315,282,259,96,1063,60,100
1/17/2016 4:00,151,393,363,323,141,1371,60,100
