INDEX,OPR_DT,OPR_HR,MWh
0,2016-03-01,1,21697
1,2016-03-01,2,21126
2,2016-03-01,3,20768
3,2016-03-01,4,20735
4,2016-03-01,5,20960
5,2016-03-01,6,21984
6,2016-03-01,7,23752
7,2016-03-01,8,24627
8,2016-03-01,9,24790
9,2016-03-01,10,25023
10,2016-03-01,11,25483
11,2016-03-01,12,25556
12,2016-03-01,13,25493
13,2016-03-01,14,25933
14,2016-03-01,15,26270
15,2016-03-01,16,26650
16,2016-03-01,17,26900
17,2016-03-01,18,27518
18,2016-03-01,19,29216
19,2016-03-01,20,29003
20,2016-03-01,21,27929
21,2016-03-01,22,26533
22,2016-03-01,23,24320
23,2016-03-01,24,22167
24,2016-03-02,1,21371
25,2016-03-02,2,21017
26,2016-03-02,3,20732
27,2016-03-02,4,20691
28,2016-03-02,5,21401
29,2016-03-02,6,22478
30,2016-03-02,7,23995
31,2016-03-02,8,24834
32,2016-03-02,9,24832
33,2016-03-02,10,24863
34,2016-03-02,11,25252
35,2016-03-02,12,25461
36,2016-03-02,13,25406
37,2016-03-02,14,25872
38,2016-03-02,15,25995
39,2016-03-02,16,26259
40,2016-03-02,17,26507
41,2016-03-02,18,27235
42,2016-03-02,19,29154
43,2016-03-02,20,28883
44,2016-03-02,21,27929
45,2016-03-02,22,26414
46,2016-03-02,23,24464
47,2016-03-02,24,22671
48,2016-03-03,1,21912
49,2016-03-03,2,21342
50,2016-03-03,3,20921
51,2016-03-03,4,20758
52,2016-03-03,5,21070
53,2016-03-03,6,22272
54,2016-03-03,7,23909
55,2016-03-03,8,24896
56,2016-03-03,9,25162
57,2016-03-03,10,25559
58,2016-03-03,11,25904
59,2016-03-03,12,26116
60,2016-03-03,13,26606
61,2016-03-03,14,26464
62,2016-03-03,15,26303
63,2016-03-03,16,26236
64,2016-03-03,17,26284
65,2016-03-03,18,27020
66,2016-03-03,19,28860
67,2016-03-03,20,28629
68,2016-03-03,21,27713
69,2016-03-03,22,26417
70,2016-03-03,23,24493
71,2016-03-03,24,22884
72,2016-03-04,1,21974
73,2016-03-04,2,21197
74,2016-03-04,3,20771
75,2016-03-04,4,20642
76,2016-03-04,5,20834
77,2016-03-04,6,22171
78,2016-03-04,7,24008
79,2016-03-04,8,25151
80,2016-03-04,9,25548
81,2016-03-04,10,25733
82,2016-03-04,11,26019
83,2016-03-04,12,26297
84,2016-03-04,13,26628
85,2016-03-04,14,26708
86,2016-03-04,15,26673
87,2016-03-04,16,26499
88,2016-03-04,17,26210
89,2016-03-04,18,26747
90,2016-03-04,19,28105
91,2016-03-04,20,27816
92,2016-03-04,21,26959
93,2016-03-04,22,25783
94,2016-03-04,23,24443
95,2016-03-04,24,22988
96,2016-03-05,1,21937
97,2016-03-05,2,20977
98,2016-03-05,3,20412
99,2016-03-05,4,20164
100,2016-03-05,5,20253
101,2016-03-05,6,20628
102,2016-03-05,7,21224
103,2016-03-05,8,21865
104,2016-03-05,9,22893
105,2016-03-05,10,23848
106,2016-03-05,11,24228
107,2016-03-05,12,24232
108,2016-03-05,13,23947
109,2016-03-05,14,23722
110,2016-03-05,15,23558
111,2016-03-05,16,23586
112,2016-03-05,17,24035
113,2016-03-05,18,25199
114,2016-03-05,19,26660
115,2016-03-05,20,26413
116,2016-03-05,21,25801
117,2016-03-05,22,24677
118,2016-03-05,23,23480
119,2016-03-05,24,22042
120,2016-03-06,1,20976
121,2016-03-06,2,20354
122,2016-03-06,3,20045
123,2016-03-06,4,19812
124,2016-03-06,5,19803
125,2016-03-06,6,20237
126,2016-03-06,7,20582
127,2016-03-06,8,21165
128,2016-03-06,9,21848
129,2016-03-06,10,22265
130,2016-03-06,11,22287
131,2016-03-06,12,22134
132,2016-03-06,13,22010
133,2016-03-06,14,22169
134,2016-03-06,15,22316
135,2016-03-06,16,22624
136,2016-03-06,17,23113
137,2016-03-06,18,24237
138,2016-03-06,19,26476
139,2016-03-06,20,26489
140,2016-03-06,21,25909
141,2016-03-06,22,24633
142,2016-03-06,23,23214
143,2016-03-06,24,21862
144,2016-03-07,1,21049
145,2016-03-07,2,20389
146,2016-03-07,3,19948
147,2016-03-07,4,19959
148,2016-03-07,5,20496
149,2016-03-07,6,21735
150,2016-03-07,7,23936
151,2016-03-07,8,25623
152,2016-03-07,9,26654
153,2016-03-07,10,27071
154,2016-03-07,11,27146
155,2016-03-07,12,26786
156,2016-03-07,13,26434
157,2016-03-07,14,25990
158,2016-03-07,15,25794
159,2016-03-07,16,25696
160,2016-03-07,17,25461
161,2016-03-07,18,26675
162,2016-03-07,19,28930
163,2016-03-07,20,29108
164,2016-03-07,21,28275
165,2016-03-07,22,26874
166,2016-03-07,23,25203
