INDEX,OPR_DT,OPR_HR,MWh
0,2016-03-01,1,-20.15998
1,2016-03-01,2,-19.77671
2,2016-03-01,3,-20.61683
3,2016-03-01,4,-22.52682
4,2016-03-01,5,-23.39544
5,2016-03-01,6,-23.63093
6,2016-03-01,7,149.15999
7,2016-03-01,8,1394.69727
8,2016-03-01,9,3018.49425
9,2016-03-01,10,4257.40275
10,2016-03-01,11,4737.03038
11,2016-03-01,12,4838.6139
12,2016-03-01,13,4794.9789
13,2016-03-01,14,5060.44309
14,2016-03-01,15,4754.77791
15,2016-03-01,16,3614.48363
16,2016-03-01,17,2042.24586
17,2016-03-01,18,282.50172
18,2016-03-01,19,-23.87284
19,2016-03-01,20,-21.17615
20,2016-03-01,21,-20.98138
21,2016-03-01,22,-20.73392
22,2016-03-01,23,-21.51534
23,2016-03-01,24,-21.15864
24,2016-03-02,1,-20.85274
25,2016-03-02,2,-20.7972
26,2016-03-02,3,-21.44253
27,2016-03-02,4,-24.12285
28,2016-03-02,5,-24.71653
29,2016-03-02,6,-25.3136
30,2016-03-02,7,108.52383
31,2016-03-02,8,1304.28127
32,2016-03-02,9,2924.30341
33,2016-03-02,10,3943.56129
34,2016-03-02,11,4737.35982
35,2016-03-02,12,4836.09445
36,2016-03-02,13,5025.28094
37,2016-03-02,14,4924.64353
38,2016-03-02,15,4390.9646
39,2016-03-02,16,3329.49147
40,2016-03-02,17,1487.00822
41,2016-03-02,18,199.4968
42,2016-03-02,19,-21.98599
43,2016-03-02,20,-22.85439
44,2016-03-02,21,-20.64592
45,2016-03-02,22,-20.80652
46,2016-03-02,23,-21.03975
47,2016-03-02,24,-20.8531
48,2016-03-03,1,-20.77916
49,2016-03-03,2,-20.76265
50,2016-03-03,3,-21.15276
51,2016-03-03,4,-24.11777
52,2016-03-03,5,-24.89298
53,2016-03-03,6,-25.60284
54,2016-03-03,7,125.94951
55,2016-03-03,8,1088.3717
56,2016-03-03,9,2435.47636
57,2016-03-03,10,3476.29552
58,2016-03-03,11,4211.73191
59,2016-03-03,12,4246.94125
60,2016-03-03,13,4023.30211
61,2016-03-03,14,3571.25176
62,2016-03-03,15,2804.96444
63,2016-03-03,16,1912.92165
64,2016-03-03,17,812.35444
65,2016-03-03,18,83.68731
66,2016-03-03,19,-22.32284
67,2016-03-03,20,-20.9617
68,2016-03-03,21,-21.0776
69,2016-03-03,22,-20.81723
70,2016-03-03,23,-21.14823
71,2016-03-03,24,-20.78897
72,2016-03-04,1,-20.83661
73,2016-03-04,2,-20.75234
74,2016-03-04,3,-21.47718
75,2016-03-04,4,-24.77629
76,2016-03-04,5,-25.30548
77,2016-03-04,6,-25.63384
78,2016-03-04,7,196.85717
79,2016-03-04,8,1852.31221
80,2016-03-04,9,3570.42283
81,2016-03-04,10,4585.1839
82,2016-03-04,11,4667.29934
83,2016-03-04,12,4321.22009
84,2016-03-04,13,4315.15827
85,2016-03-04,14,3716.37137
86,2016-03-04,15,2905.85467
87,2016-03-04,16,2193.27364
88,2016-03-04,17,981.89061
89,2016-03-04,18,98.78414
90,2016-03-04,19,-23.28507
91,2016-03-04,20,-21.7457
92,2016-03-04,21,-21.80841
93,2016-03-04,22,-21.72146
94,2016-03-04,23,-21.71247
95,2016-03-04,24,-21.63124
