INDEX,OPR_DT,OPR_HR,MWh
0,2016-03-01,1,869.01142
1,2016-03-01,2,1272.16986
2,2016-03-01,3,549.54585
3,2016-03-01,4,123.15247
4,2016-03-01,5,111.29212
5,2016-03-01,6,154.55533
6,2016-03-01,7,130.55038
7,2016-03-01,8,51.81323
8,2016-03-01,9,34.40292
9,2016-03-01,10,122.87695
10,2016-03-01,11,191.60866
11,2016-03-01,12,368.56667
12,2016-03-01,13,503.79674
13,2016-03-01,14,721.02625
14,2016-03-01,15,1333.02933
15,2016-03-01,16,1761.05015
16,2016-03-01,17,1572.93232
17,2016-03-01,18,1770.31201
18,2016-03-01,19,1908.33319
19,2016-03-01,20,1922.87888
20,2016-03-01,21,1866.76276
21,2016-03-01,22,1692.04806
22,2016-03-01,23,1545.61499
23,2016-03-01,24,1486.87095
24,2016-03-02,1,1404.37841
25,2016-03-02,2,1512.25899
26,2016-03-02,3,1641.47917
27,2016-03-02,4,1477.87309
28,2016-03-02,5,1032.60016
29,2016-03-02,6,648.71608
30,2016-03-02,7,662.09528
31,2016-03-02,8,808.02539
32,2016-03-02,9,847.9434
33,2016-03-02,10,716.00877
34,2016-03-02,11,1006.9308
35,2016-03-02,12,1020.54624
36,2016-03-02,13,968.50043
37,2016-03-02,14,1011.24779
38,2016-03-02,15,1299.52636
39,2016-03-02,16,1809.75565
40,2016-03-02,17,1937.14779
41,2016-03-02,18,1891.23777
42,2016-03-02,19,1901.00919
43,2016-03-02,20,2173.47667
44,2016-03-02,21,2062.68515
45,2016-03-02,22,1978.41823
46,2016-03-02,23,1716.06832
47,2016-03-02,24,1519.78228
48,2016-03-03,1,1372.36153
49,2016-03-03,2,1289.06283
50,2016-03-03,3,1070.70509
51,2016-03-03,4,1071.29931
52,2016-03-03,5,1015.30117
53,2016-03-03,6,1005.30618
54,2016-03-03,7,1130.5271
55,2016-03-03,8,807.13708
56,2016-03-03,9,617.89804
57,2016-03-03,10,521.13863
58,2016-03-03,11,507.44013
59,2016-03-03,12,484.38408
60,2016-03-03,13,485.43115
61,2016-03-03,14,454.9649
62,2016-03-03,15,551.67897
63,2016-03-03,16,645.05678
64,2016-03-03,17,1049.44338
65,2016-03-03,18,1474.46597
66,2016-03-03,19,1510.77594
67,2016-03-03,20,1577.37902
68,2016-03-03,21,1613.51097
69,2016-03-03,22,1690.49388
70,2016-03-03,23,1565.20034
71,2016-03-03,24,1604.21051
72,2016-03-04,1,1956.86622
73,2016-03-04,2,1482.46502
74,2016-03-04,3,1080.54684
75,2016-03-04,4,620.3653
76,2016-03-04,5,486.16772
77,2016-03-04,6,539.6906
78,2016-03-04,7,498.98889
79,2016-03-04,8,543.11849
80,2016-03-04,9,481.39566
81,2016-03-04,10,504.47436
82,2016-03-04,11,444.39419
83,2016-03-04,12,579.38019
84,2016-03-04,13,646.97268
85,2016-03-04,14,533.53613
86,2016-03-04,15,647.77307
87,2016-03-04,16,1117.43148
88,2016-03-04,17,1589.15569
89,2016-03-04,18,1760.13336
90,2016-03-04,19,1973.14149
91,2016-03-04,20,1928.4729
92,2016-03-04,21,2246.85811
93,2016-03-04,22,2321.21312
94,2016-03-04,23,2069.01618
95,2016-03-04,24,1768.68934
96,2016-03-05,1,1449.65048
97,2016-03-05,2,1283.92594
98,2016-03-05,3,1251.95968
99,2016-03-05,4,1201.21831
100,2016-03-05,5,1168.6123
101,2016-03-05,6,1200.75593
102,2016-03-05,7,1260.14821
103,2016-03-05,8,1333.01627
104,2016-03-05,9,1228.01957
105,2016-03-05,10,1197.53057
106,2016-03-05,11,1137.17488
107,2016-03-05,12,1083.58401
108,2016-03-05,13,1004.6221
109,2016-03-05,14,1062.84859
110,2016-03-05,15,1337.72748
111,2016-03-05,16,1432.1878
112,2016-03-05,17,1319.38263
113,2016-03-05,18,1544.68955
114,2016-03-05,19,1663.2974
115,2016-03-05,20,1743.53967
116,2016-03-05,21,1692.36831
117,2016-03-05,22,1638.77785
118,2016-03-05,23,1330.05121
119,2016-03-05,24,1546.55414
120,2016-03-06,1,2319.52025
121,2016-03-06,2,1925.0096
122,2016-03-06,3,1649.51336
123,2016-03-06,4,1583.70273
124,2016-03-06,5,1690.27843
125,2016-03-06,6,1507.44583
126,2016-03-06,7,2527.1992
127,2016-03-06,8,2287.75054
128,2016-03-06,9,2380.33933
129,2016-03-06,10,2117.99584
130,2016-03-06,11,2076.59289
131,2016-03-06,12,2203.37252
