STATE,COUNTY,NAME,Total Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
6,1,Census Tract 4001,2937,1461,1476,150,122,91,88,85,129,126,163,210,206,281,310,342,238,147,110,75,64,6882245,0,37.8675947,-122.2319033
6,1,Census Tract 4002,1974,971,1003,138,98,64,46,72,184,181,183,174,105,113,128,165,140,84,44,25,30,595106,0,37.848171,-122.2495763
6,1,Census Tract 4003,4865,2228,2637,320,219,143,174,211,495,526,518,475,339,356,314,282,198,90,78,53,74,1105328,0,37.8405983,-122.2544365
6,1,Census Tract 4004,3703,1711,1992,255,168,94,85,234,486,446,398,332,223,213,210,206,132,78,55,42,46,703688,0,37.8482107,-122.2574628
6,1,Census Tract 4005,3517,1677,1840,184,133,86,92,313,495,468,353,261,253,187,179,199,109,67,32,49,57,588111,0,37.8485167,-122.2647445
6,1,Census Tract 4006,1571,723,848,64,60,59,66,156,199,200,145,107,107,113,96,55,51,20,25,21,27,297855,0,37.8419909,-122.2648882
6,1,Census Tract 4007,4206,1997,2209,203,184,152,160,359,448,407,371,328,315,288,249,233,163,88,79,83,96,880513,0,37.8417578,-122.2723135
6,1,Census Tract 4008,3594,1745,1849,193,145,139,179,269,389,421,305,259,225,240,200,188,146,92,73,59,72,695230,0,37.8454493,-122.2833803
6,1,Census Tract 4009,2302,1127,1175,134,116,105,122,191,221,214,188,198,171,173,130,120,64,52,35,30,38,425163,0,37.8394669,-122.2802437
6,1,Census Tract 4010,5678,2671,3007,326,311,328,341,476,580,557,529,381,392,389,344,268,142,86,61,87,80,1154123,0,37.831217,-122.2719625
6,1,Census Tract 4026,1151,538,613,56,35,25,27,53,100,104,91,70,82,74,76,63,78,62,70,52,33,318724,0,37.8042711,-122.2799541
6,1,Census Tract 4011,4156,2014,2142,179,137,105,129,386,763,624,416,328,257,211,202,163,116,46,38,27,29,886376,0,37.8304835,-122.2638645
6,1,Census Tract 4012,2416,1096,1320,112,86,76,81,117,279,316,315,218,176,158,138,144,75,36,27,29,33,667273,0,37.8305977,-122.2579072
6,1,Census Tract 4013,3528,1830,1698,138,97,83,116,284,424,368,290,231,226,192,199,160,168,186,135,96,135,855628,0,37.8180997,-122.2667133
6,1,Census Tract 4014,4314,2286,2028,276,265,208,270,393,443,374,354,307,321,294,260,208,110,78,73,38,42,755873,0,37.8207387,-122.2733758
6,1,Census Tract 4015,2630,1473,1157,127,115,137,150,214,233,202,230,252,233,227,185,140,67,44,19,24,31,467047,0,37.8229232,-122.2806358
6,1,Census Tract 4016,2163,1085,1078,142,140,142,178,222,205,225,144,167,153,158,106,69,42,30,18,11,11,636070,0,37.8173716,-122.2814825
6,1,Census Tract 4017,2667,1422,1245,190,138,129,122,210,343,334,311,209,179,175,129,79,51,24,21,10,13,5802590,6131884,37.8134257,-122.3193044
6,1,Census Tract 4018,1703,828,875,141,119,119,125,163,196,152,131,101,99,96,90,55,45,26,11,22,12,298697,0,37.809532,-122.298236
6,1,Census Tract 4022,2385,1226,1159,158,154,153,147,199,240,226,174,200,168,133,127,98,67,55,32,28,26,712761,0,37.8063512,-122.2963076
6,1,Census Tract 4024,2351,1150,1201,163,122,115,139,213,214,176,164,137,133,142,123,122,93,93,96,56,50,337079,0,37.812031,-122.2824569
