ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
1,1,1,1,47,74,82,36,1,46,32,9,4,2,20.3,1,15,0.25,16750,3,6,27,29,17,1163,9855,2502,2655,2,573,218,716,0,0,0,0,3,5.57022,0,47,1,8
2,1,1,1,152,240,266,116,3,149,104,28,12,8,31.1,1,24,0.25,26305,9,20,88,93,56,1826,15478,3930,4169,3,899,218,716,0,0,0,0,1,5.55782,0,152,2,26
3,1,1,1,276,437,485,210,6,270,190,50,22,14,14.7,1,2,0.25,2100,17,37,159,169,103,146,1235,314,333,0,72,218.08298,716.27252,0,0,0,0,1,5.52928,0,276,3,48
4,1,1,1,78,125,138,60,2,76,54,14,6,4,19.3,1,18,0.25,20187,5,10,46,48,29,1401,11878,3016,3200,2,690,191,314,0,0,0,0,2,5.5731,0,78,4,13
5,1,1,1,532,843,937,406,12,520,366,97,42,27,52.7,1,15,0.25,17547,33,71,308,327,198,1218,10325,2621,2781,2,600,191.0087,314.01431,0,0,62.03556,0,1,5.60114,0,532,5,94
6,1,1,1,2319,3408,4043,2110,14,2305,1239,687,258,135,29,7,8,0.16,2821,85,227,2183,1039,509,178,389,1914,281,0,59,150,546,0,0,0,0,1,4.80412,0,2319,6,635
7,1,1,1,3872,5688,6147,3415,7,3865,2731,752,294,95,45,13,14,0.2,5947,185,412,2474,2052,1024,403,708,4271,430,0,135,205,600,0,0,0,0,1,4.92774,0,3872,7,459
8,1,1,1,4506,7393,9472,2654,18,4488,3937,362,176,31,50,8,16,0.26,3251,383,784,2660,3562,2083,98,657,1629,751,1,115,116,443,0,0,0,0,2,4.4385,0,4506,8,2079
9,1,1,1,5256,8936,9597,4067,32,5224,3933,841,427,55,112,9,48,0.18,14886,413,944,4180,2677,1383,175,3288,3558,7632,0,233,95,157,0,24.04059,1750.29749,17.72057,2,4.71888,0,5256,9,661
10,1,1,1,1742,2981,3080,1204,40,1702,1106,307,227,102,73.5,8,35,0.16,9363,93,261,1216,1152,358,667,1926,1919,4247,6,598,89,273,0,0,593.77026,0,3,4.62082,0,1742,10,99
11,1,1,1,2814,4819,4979,1946,65,2749,1787,497,366,164,81,12,37,0.16,10939,151,421,1966,1862,579,780,2251,2243,4961,6,698,116,259,0,0,0,0,3,4.68716,0,2814,11,160
12,1,1,1,271,412,421,112,1,270,81,63,42,85,53.3,1,16,0.1,11082,4,5,231,157,24,357,5709,1827,2554,11,624,177,778,0,0,2952.91455,2043.64209,3,5.25262,0,271,12,9
13,1,1,1,266,406,415,111,1,265,79,63,41,83,26.5,1,18,0.1,13553,4,5,228,155,23,437,6982,2234,3124,13,763,177,778,0,311.31473,1478.22302,3288.79028,3,5.30814,0,266,13,9
14,1,1,1,195,299,306,82,0,195,58,46,30,61,30.6,1,26,0.1,18878,3,4,168,114,17,609,9725,3112,4351,18,1063,198.0088,819.03644,0,0,732.02142,216.24161,3,5.28398,0,195,14,7
15,1,1,1,1244,1896,1943,517,3,1241,371,292,192,389,28.5,3,13,0.1,9466,20,24,1065,724,110,305,4877,1560,2182,9,533,198,819,0,0,0,0,3,5.28588,0,1244,15,47
16,1,1,1,1463,2403,2529,1309,16,1447,334,229,351,549,123.4,7,72,0.08,37153,58,68,1545,730,128,4626,15509,3296,12368,34,1320,255.3159,828.21979,0,0,0,0,2,5.05699,0,1463,16,126
17,1,1,1,4710,7735,8142,4211,53,4657,1074,737,1131,1768,152.3,23,37,0.08,20250,186,220,4974,2349,413,2522,8452,1797,6741,18,720,169.82402,743.17487,1,0,0,0,1,5.0961,0,4710,17,407
18,1,1,1,309,507,620,226,21,288,66,45,51,147,107.3,2,50,0.06,8976,12,42,395,149,22,1063,2287,1291,3178,2,1155,109.46342,314.56329,1,0,0,0,3,4.35648,0,309,18,113
19,1,1,1,1281,2101,2568,935,85,1196,273,189,211,608,125.4,9,74,0.06,13330,48,172,1639,619,90,1578,3396,1918,4720,3,1715,94.4818,259.24884,1,0,0,0,3,4.35874,0,1281,19,467
20,1,1,1,2134,3542,3874,1324,102,2032,1382,338,185,229,98.3,12,36,0.41,9207,87,202,1132,964,1489,632,2538,2996,1985,2,1054,111.73732,306.59631,1,0,0,0,3,4.59099,0,2134,20,332
21,1,1,1,2541,4219,4614,1578,122,2419,1646,402,220,273,78.9,14,44,0.41,10902,103,240,1348,1149,1774,748,3005,3548,2351,2,1248,172.3138,497.32843,1,0,0,0,3,4.56998,0,2541,21,395
22,1,1,1,1293,2051,2070,1097,65,1228,312,272,252,457,87.7,9,46,0.33,17532,33,39,489,934,575,496,10045,2059,2936,0,1996,191,525,0,0,0,0,3,4.85573,0,1293,22,19
23,1,1,1,501,795,802,425,25,476,121,106,97,177,90.8,4,21,0.33,8052,13,15,189,362,223,228,4613,946,1348,0,917,164,409,1,0,0,0,1,4.85972,0,501,23,7
24,1,1,1,661,1058,1064,321,0,661,590,46,8,17,39,2,20,0.38,12047,34,47,197,430,356,368,7553,1361,2405,0,360,232,750,0,0,0,0,1,5.15979,0,661,24,6
25,1,1,1,1604,3504,3510,1051,108,1496,1383,143,50,28,21,4,4,0.42,1239,120,402,588,1030,1370,181,257,631,86,0,84,232,341,0,0,0,0,1,4.71807,0,1604,25,6
26,1,1,1,735,1577,1589,671,32,703,524,105,88,18,13,2,5,0.36,3165,53,162,361,491,522,147,2106,370,430,15,97,232,341,0,0,0,0,1,5.19278,0,735,26,12
27,1,1,1,1614,3329,3330,1500,63,1551,1098,240,129,147,26,8,6,0.38,828,107,344,724,990,1165,55,163,529,43,0,38,232,341,0,0,0,0,1,4.18248,0,1614,27,1
28,1,1,1,1965,3480,3482,2333,72,1893,558,290,341,776,44,21,5,0.28,1268,119,158,1224,1120,861,9,216,761,256,0,26,150,546,0,0,0,0,1,4.58539,0,1965,28,2
29,1,1,1,3271,4953,5201,3398,44,3227,1277,806,692,496,37,16,4,0.2,1434,111,216,2432,1595,847,7,340,862,206,0,19,150,546,0,0,0,0,1,4.81509,0,3271,29,248
30,1,1,1,4418,7437,7931,4202,26,4392,2564,1061,566,227,46,14,10,0.15,1585,380,706,3675,2235,935,132,291,737,328,0,97,95,130,1,0,0,0,1,4.27406,0,4418,30,494
31,1,1,1,2690,3973,4056,2421,36,2654,1655,594,320,121,32,8,9,0.19,1579,139,244,1918,1134,621,94,314,825,321,0,25,95,130,1,0,0,0,1,4.34128,0,2690,31,83
32,1,1,1,3250,5449,5467,3721,65,3185,1635,855,414,346,58,22,13,0.23,2799,135,373,2326,1568,1065,142,486,1662,393,6,110,95,130,1,0,0,0,1,4.47688,0,3250,32,18
33,1,1,1,2617,5103,5114,3206,86,2531,1055,587,537,438,59,24,9,0.22,1168,160,390,2156,1444,964,87,297,480,205,0,99,95,102,1,0,0,0,1,4.14188,0,2617,33,11
34,1,1,1,2778,4575,4575,3196,88,2690,835,474,608,861,60,30,4,0.24,711,107,168,2157,1197,946,75,191,312,101,0,32,82,102,1,0,0,0,1,4.34992,0,2778,34,0
35,1,1,1,2472,4850,4849,3010,223,2249,555,521,419,977,58,31,2,0.25,552,175,423,1790,1404,1057,12,116,194,174,0,56,109,109,1,0,0,0,1,4.64153,0,2472,35,-1
36,1,1,1,2936,5921,5922,2279,111,2825,2144,359,235,198,47,15,7,0.4,2308,208,507,1319,1747,2141,164,338,1096,590,0,120,171,239,1,0,0,0,1,4.75953,0,2936,36,1
37,1,1,1,2129,4121,4122,2479,83,2046,1036,406,432,255,43,13,8,0.24,2502,148,381,1420,1353,820,68,766,1246,302,0,120,171,239,1,0,362.47021,0,1,4.72447,0,2129,37,1
38,1,1,1,2619,4797,4812,3327,181,2438,656,445,757,761,83,39,6,0.21,1224,190,295,1881,1599,847,70,565,268,260,0,61,109,450,1,0,0,0,1,4.44114,0,2619,38,15
39,1,1,1,2142,4081,4081,2410,191,1951,597,380,601,564,67,32,6,0.25,1002,166,271,1529,1222,893,24,245,429,297,0,7,109,450,2,0,471.47391,81.53091,1,4.30863,0,2142,39,0
40,1,1,1,2690,4385,4390,2981,183,2507,643,437,581,1029,128,45,28,0.23,2275,128,128,1938,1330,866,380,713,774,285,0,123,109,355,2,2214.03125,0,0,1,3.83316,0,2690,40,5
41,1,1,1,2274,4032,4047,2077,83,2191,647,428,592,607,183,21,87,0.25,7850,110,267,1660,1110,900,425,1745,2232,3106,36,306,109,546,1,0,0,0,2,3.90214,0,2274,41,15
42,1,1,1,1835,6234,6955,3391,430,1405,353,340,464,678,628,100,484,0.02,801,296,1006,4774,827,52,136,101,299,249,0,16,0,0,3,0,0,0,2,1.16079,0,1835,42,721
