Station #,Address
 Station 1,935 Folsom Street
Station 2,1340 Powell Street
Station 3,1067 Post Street 
 Station 4,449 Mission Rock Street
 Station 5,1301 Turk Street
 Station 6,135 Sanchez Street
 Station 7,2300 Folsom Street
 Station 8,36 Bluxome Street
Station 9,2245 Jerrold Avenue
Station 10,655 Presidio Avenue
Station 11,3880 26th Street
Station 12,1145 Stanyan Street
Station 13,530 Sansome Street
Station 14,551 26th Avenue
Station 15,1000 Ocean Avenue
Station 16,2251 Greenwich Street
Station 17,1295 Shafter Avenue
Station 18,1935 32nd Avenue
Station 19,390 Buckingham Way
Station 20,285 Olympia Way
Station 21,1443 Grove Street
Station 22,1290 16th Avenue
Station 23,1348 45th Avenue
Station 24,100 Hoffman Avenue
Station 25,3305 3rd Street
Station 26,80 Digby Street
Station 28,1814 Stockton Street
Station 29,299 Vermont Street
Station 31,441 12th Avenue
Station 32,194 Park Street
Station 33,8 Capitol Avenue
Station 34,499 41st Avenue
Station 35,Pier 22 1/2
Station 36,109 Oak Street
Station 37,798 Wisconsin Street
Station 38,2150 California Street
Station 39,1091 Portola Drive
Station 40,2155 18th Avenue
Station 41,1325 Leavenworth Street
Station 42,2430 San Bruno Avenue
 Station 43,720 Moscow Street
 Station 44,1298 Girard Street
 Station 49,1415 Evans Avenue
 Station 51,218 Lincoln Blvd
